name,state,state_code,type,population,website,total_schools,total_students,mailing_address,grade_span,locale,csa_cbsa,domain_name,physical_address,phone,status,student_teacher_ratio,supervisory_union,county,created_at,updated_at,id
City of Naperville,Illinois,IL,City,149424,https://www.naperville.il.us,,,,,,,,,,,,,DuPage County,2025-11-08 10:51:14.630178+00,2025-11-08 10:51:14.630181+00,47b9ac08-bb21-4083-8c9d-0dff34740b16
La Crosse County,Wisconsin,WI,County,120262,https://lacrossecounty.org/,,,,,,,,,,,,,,2025-11-08 11:02:49.699543+00,2025-11-08 11:02:49.699545+00,49f6f08d-b72a-43bd-ba57-0545872300d2
Midland County,Texas,TX,County,171496,https://www.co.midland.tx.us,,,,,,,,,,,,,,2025-11-08 11:00:48.740647+00,2025-11-08 11:00:48.740649+00,4a1340d1-5329-4750-8c65-10dfef2c323c
Grayson County,Texas,TX,County,139988,https://www.co.grayson.tx.us/,,,,,,,,,,,,,,2025-11-08 11:00:48.74248+00,2025-11-08 11:00:48.742482+00,4a64629e-7a03-424f-9ead-4ca78326ab8b
Allen County,Indiana,IN,County,388791,https://www.allencounty.in.gov/,,,,,,,,,,,,,,2025-11-08 10:51:55.199396+00,2025-11-08 10:51:55.199399+00,4a6fb6b9-1106-4357-b999-4337d5ccfe9b
City of West Valley City,Utah,UT,City,137955,https://www.wvc-ut.gov/,,,,,,,,,,,,,Salt Lake County,2025-11-08 11:01:29.727644+00,2025-11-08 11:01:29.727647+00,4b6aaf54-a850-4ec9-ae66-c6e1a7600218
Morris County,New Jersey,NJ,County,510375,https://www.morriscountynj.gov,,,,,,,,,,,,,,2025-11-08 10:55:47.458054+00,2025-11-08 10:55:47.458056+00,4b948ad4-93b9-47d0-b2b2-56b40832403b
City of Gilbert,Arizona,AZ,City,271118,https://www.gilbertaz.gov,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.679152+00,2025-11-08 10:48:29.679161+00,4bdf292b-55fb-42be-a372-cca01f65f11d
Middlesex County,Massachusetts,MA,County,1622896,https://www.mass.gov/locations/middlesex-county,,,,,,,,,,,,,,2025-11-08 10:53:46.24624+00,2025-11-08 10:53:46.246242+00,4c03a914-76e8-4c8b-b85b-a0438a1cc9e6
Loudoun County,Virginia,VA,County,427082,https://www.loudoun.gov,,,,,,,,,,,,,,2025-11-08 11:02:07.065091+00,2025-11-08 11:02:07.065094+00,4c043cb5-89fd-4133-84e7-bab3752539e9
Harrison County,Mississippi,MS,County,209443,https://harrisoncountyms.gov/,,,,,,,,,,,,,,2025-11-08 10:54:35.098659+00,2025-11-08 10:54:35.098661+00,4c1df0d2-660f-40c2-bbbd-e77356e3d2af
Muskegon County,Michigan,MI,County,175378,https://co.muskegon.mi.us,,,,,,,,,,,,,,2025-11-08 10:54:03.487034+00,2025-11-08 10:54:03.487036+00,4d95f361-cc07-4eb0-8911-7d771208a754
San Mateo County,California,CA,County,745100,https://www.smcgov.org,,,,,,,,,,,,,,2025-11-08 10:48:36.924751+00,2025-11-08 10:48:36.924755+00,4dca69af-e622-4600-91c4-47ac9f3dd66e
Sacramento County,California,CA,County,1584047,https://www.saccounty.gov,,,,,,,,,,,,,,2025-11-08 10:48:36.926059+00,2025-11-08 10:48:36.926063+00,4df690c2-aff3-4189-9fe1-ccd0ed5a4e93
El Dorado County,California,CA,County,192299,https://www.eldoradocounty.ca.gov,,,,,,,,,,,,,,2025-11-08 10:48:36.926167+00,2025-11-08 10:48:36.926169+00,4e6e15ba-dcc5-4401-b9b2-f243dc0a6942
Brunswick County,North Carolina,NC,County,145889,https://www.brunswickcountync.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.304519+00,2025-11-08 10:57:38.304521+00,4e964300-9ddb-4363-a71a-383f5eba51c2
Newton County,Georgia,GA,County,115530,https://www.newtoncountyga.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.737719+00,2025-11-08 10:49:43.737722+00,4ea20bdc-028a-45b3-bf16-411d0a4ec964
Humboldt County,California,CA,County,135418,https://humboldtgov.org/,,,,,,,,,,,,,,2025-11-08 10:48:36.926435+00,2025-11-08 10:48:36.926438+00,4eace091-f0f9-42a9-a1dc-76d8b9ee0c12
Robeson County,North Carolina,NC,County,116858,https://www.robesoncountync.gov/,,,,,,,,,,,,,,2025-11-08 10:57:38.306274+00,2025-11-08 10:57:38.306277+00,4ebd69d5-8bb0-4f3c-b628-27fe2edc9b4d
Hamilton County,Ohio,OH,County,827878,https://www.hamiltoncountyohio.gov,,,,,,,,,,,,,,2025-11-08 10:57:39.031492+00,2025-11-08 10:57:39.031494+00,4ec1ba63-2b9f-4c83-8c56-a7c9050ea0da
Jackson County,Missouri,MO,County,717021,https://www.jacksongov.org,,,,,,,,,,,,,,2025-11-08 10:54:35.114841+00,2025-11-08 10:54:35.114844+00,4f4f17ec-533d-4590-8c03-8f4f1d0bcdb9
Hamilton County,Tennessee,TN,County,370913,https://www.hamiltontn.gov,,,,,,,,,,,,,,2025-11-08 11:00:16.951172+00,2025-11-08 11:00:16.951174+00,4f59b217-fd8c-4cb2-96bd-b6d203fad3ec
City of Allentown,Pennsylvania,PA,City,125320,https://www.allentownpa.gov,,,,,,,,,,,,,Lehigh County,2025-11-08 10:59:17.222739+00,2025-11-08 10:59:17.222741+00,4f5d39ad-7784-4ce6-a1d5-5565bfa36d3f
Atlantic County,New Jersey,NJ,County,274704,https://www.atlanticcountynj.gov,,,,,,,,,,,,,,2025-11-08 10:55:47.458033+00,2025-11-08 10:55:47.458036+00,4f893dbe-a235-4716-8a78-3b1566ac9565
City of Anaheim,California,CA,City,344553,https://www.anaheim.net/,,,,,,,,,,,,,Orange County,2025-11-08 10:48:36.927326+00,2025-11-08 10:48:36.927328+00,4f980cde-9697-471e-9818-570a86025f16
Richland County,Ohio,OH,County,125138,https://www.richlandcountyoh.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.227457+00,2025-11-08 10:58:14.227459+00,4fd2776d-31a7-4d70-8aae-b7ac7e764a37
Lancaster County,Pennsylvania,PA,County,555151,https://co.lancaster.pa.us,,,,,,,,,,,,,,2025-11-08 10:59:17.219618+00,2025-11-08 10:59:17.21962+00,4ff508dc-508f-4ea3-92d4-b0667e94071d
City of Vacaville,California,CA,City,102085,https://www.cityofvacaville.gov,,,,,,,,,,,,,Solano County,2025-11-08 10:49:05.024177+00,2025-11-08 10:49:05.02418+00,5038d246-2bfd-43a3-b540-435fc413f19f
Douglas County,Colorado,CO,County,368283,https://www.douglas.co.us,,,,,,,,,,,,,,2025-11-08 10:49:05.039349+00,2025-11-08 10:49:05.039352+00,50df2423-a1a7-4538-bb85-3bf9a48fdc17
Genesee County,Michigan,MI,County,404087,https://www.geneseecountymi.gov,,,,,,,,,,,,,,2025-11-08 10:54:03.48809+00,2025-11-08 10:54:03.488093+00,510a3aa0-f7c5-475b-86ad-a742c90da528
Suffolk County,New York,NY,County,1525680,https://suffolkcountyny.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.784693+00,2025-11-08 10:57:06.784696+00,51ad3cd8-f2ed-4f32-80de-89b0251861d0
Wilson County,Tennessee,TN,County,153587,https://wilsoncountytn.gov,,,,,,,,,,,,,,2025-11-08 11:00:16.951315+00,2025-11-08 11:00:16.951318+00,51d3780d-17ab-4ad3-ba43-996b5c52723a
Madison County,Alabama,AL,County,397135,https://www.madisoncountyal.gov,,,,,,,,,,,,,,2025-11-08 10:48:12.72906+00,2025-11-08 10:48:12.729062+00,520f3f6d-da68-4ee3-b998-c92d538126f2
Monroe County,Indiana,IN,County,139822,https://www.co.monroe.in.us,,,,,,,,,,,,,,2025-11-08 10:51:55.197861+00,2025-11-08 10:51:55.197865+00,522ee601-cef1-45df-af51-c4b259392f26
City of Tempe,Arizona,AZ,City,186419,https://www.tempe.gov/,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.678469+00,2025-11-08 10:48:29.678472+00,52597f58-629d-4c1c-84d7-b2441513a4b6
City of Garden Grove,California,CA,City,170603,https://ggcity.org,,,,,,,,,,,,,Orange County,2025-11-08 10:49:05.027192+00,2025-11-08 10:49:05.027195+00,528b5adb-190a-407e-bf56-dca1c713e112
City of Charleston,South Carolina,SC,City,152014,http://charleston-sc.gov/,,,,,,,,,,,,,Charleston County,2025-11-08 11:00:02.968508+00,2025-11-08 11:00:02.968511+00,528c7caf-1e94-4116-aed3-9022fe53ad2c
McLean County,Illinois,IL,County,170882,https://www.mcleancountyil.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.626446+00,2025-11-08 10:51:14.626449+00,52ae4d9c-3375-4600-b7e6-956ea3172091
Richmond city,Virginia,VA,County,227595,https://www.rva.gov/,,,,,,,,,,,,,,2025-11-08 11:02:07.063746+00,2025-11-08 11:02:07.063748+00,52b338ca-80dd-4163-a082-95ad4237b2da
Passaic County,New Jersey,NJ,County,518289,https://www.passaiccountynj.org/,,,,,,,,,,,,,,2025-11-08 10:55:47.458322+00,2025-11-08 10:55:47.458324+00,52c84f67-1fcd-4fe9-ba6d-9f991e44c557
Cache County,Utah,UT,County,137031,https://www.cachecounty.gov,,,,,,,,,,,,,,2025-11-08 11:01:29.726104+00,2025-11-08 11:01:29.726107+00,533fa2a7-e836-4e91-bb4b-11859c22e7e3
City of Oceanside,California,CA,City,172542,https://www.ci.oceanside.ca.us/,,,,,,,,,,,,,San Diego County,2025-11-08 10:49:05.02436+00,2025-11-08 10:49:05.024362+00,535f5b5a-e973-4c03-999a-26f5cda04671
Stanislaus County,California,CA,County,552250,https://www.stancounty.com,,,,,,,,,,,,,,2025-11-08 10:48:36.925123+00,2025-11-08 10:48:36.925126+00,53c3e2ae-7e89-4b96-9861-657fb2bacc80
City of Thornton,Colorado,CO,City,142878,https://www.thorntonco.gov,,,,,,,,,,,,,Adams County,2025-11-08 10:49:05.041206+00,2025-11-08 10:49:05.041209+00,5414d6dd-e828-41b3-84ee-a30a6d04dc03
City of Broken Arrow,Oklahoma,OK,City,115919,https://www.brokenarrowok.gov,,,,,,,,,,,,,Tulsa County,2025-11-08 10:58:36.690961+00,2025-11-08 10:58:36.690964+00,542fed26-0b7d-419a-9118-2d460965970a
Union County,New Jersey,NJ,County,572549,https://ucnj.org,,,,,,,,,,,,,,2025-11-08 10:55:47.458115+00,2025-11-08 10:55:47.458118+00,54f739d4-896f-4960-99cb-628e4ea1c211
City of Raleigh,North Carolina,NC,City,470763,https://raleighnc.gov,,,,,,,,,,,,,Wake County,2025-11-08 10:57:38.306536+00,2025-11-08 10:57:38.306539+00,5551e979-5043-48d1-8d2b-1457fec87b4f
St. Lawrence County,New York,NY,County,107796,https://stlawco.gov/,,,,,,,,,,,,,,2025-11-08 10:57:06.785267+00,2025-11-08 10:57:06.78527+00,55e776e5-e2fa-4d5b-9688-45b8d4d3da00
City of Buffalo,New York,NY,City,276397,https://www.buffalony.gov,,,,,,,,,,,,,Erie County,2025-11-08 10:57:06.786941+00,2025-11-08 10:57:06.786943+00,5613482f-ad7c-403c-99b3-158b1ec2086e
Linn County,Oregon,OR,County,129794,https://www.linncountyor.gov,,,,,,,,,,,,,,2025-11-08 10:58:36.698869+00,2025-11-08 10:58:36.698872+00,564b2df7-1f36-4a80-8c4c-d34284d04978
City of San Diego,California,CA,City,1385061,https://www.sandiego.gov,,,,,,,,,,,,,San Diego County,2025-11-08 10:49:05.027007+00,2025-11-08 10:49:05.027009+00,56cad3e8-b403-4025-b14c-8ce8ef8df9ce
Maury County,Tennessee,TN,County,104855,https://www.maurycounty-tn.gov/,,,,,,,,,,,,,,2025-11-08 11:00:02.982433+00,2025-11-08 11:00:02.982435+00,571bd212-b3e3-4b52-baa3-39ecca191e27
St. Louis County,Missouri,MO,County,996618,https://stlouiscountymo.gov,,,,,,,,,,,,,,2025-11-08 10:54:35.114567+00,2025-11-08 10:54:35.11457+00,572849f0-6b38-417d-be91-ce004b4c5b69
St. Louis County,Minnesota,MN,County,200056,https://www.stlouiscountymn.gov,,,,,,,,,,,,,,2025-11-08 10:54:23.27115+00,2025-11-08 10:54:23.271152+00,57402653-8769-49bd-bee8-d0a893d1bfbb
Boone County,Missouri,MO,County,185874,https://www.showmeboone.com/,,,,,,,,,,,,,,2025-11-08 10:55:17.068837+00,2025-11-08 10:55:17.068839+00,57c56a03-1965-419f-b1e8-0a73cb576f8c
City of Boise City,Idaho,ID,City,235701,https://www.cityofboise.org,,,,,,,,,,,,,Ada County,2025-11-08 10:50:28.463744+00,2025-11-08 10:50:28.463746+00,5882425c-bbee-4f55-a3c5-21e006a6b075
Wyandotte County,Kansas,KS,County,167277,https://www.wycokck.org,,,,,,,,,,,,,,2025-11-08 10:52:36.691977+00,2025-11-08 10:52:36.69198+00,58b2e934-e03a-490b-afc4-27f22b91823a
Sandoval County,New Mexico,NM,County,151538,https://www.sandovalcountynm.gov,,,,,,,,,,,,,,2025-11-08 10:56:20.019292+00,2025-11-08 10:56:20.019295+00,58c54492-1bcf-482a-88cb-e5bc08ee0ec9
City of Eugene,Oregon,OR,City,177520,https://www.eugene-or.gov,,,,,,,,,,,,,Lane County,2025-11-08 10:58:36.702383+00,2025-11-08 10:58:36.702386+00,58cc3ef0-b1be-421b-bb76-4454544dfc24
Hawaii County,Hawaii,HI,County,203684,https://www.hawaiicounty.gov,,,,,,,,,,,,,,2025-11-08 10:50:28.461739+00,2025-11-08 10:50:28.461742+00,58d63ce7-5176-4289-a29b-53eaa07f80e3
City of Frisco,Texas,TX,City,210238,https://www.friscotexas.gov,,,,,,,,,,,,,Collin County,2025-11-08 11:00:48.747387+00,2025-11-08 11:00:48.747392+00,58e691fe-fcaf-493b-9cfb-4b72253a94c7
City of Chula Vista,California,CA,City,275030,https://www.chulavistaca.gov,,,,,,,,,,,,,San Diego County,2025-11-08 10:49:05.02444+00,2025-11-08 10:49:05.024443+00,5939a95e-cb7f-46de-b551-8464487c182d
Cass County,North Dakota,ND,County,189286,https://www.casscountynd.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.318209+00,2025-11-08 10:57:38.318212+00,5967bb74-f133-4e5d-ad54-1eda9495a11b
Columbiana County,Ohio,OH,County,101203,http://www.columbianacounty.org,,,,,,,,,,,,,,2025-11-08 10:57:39.031451+00,2025-11-08 10:57:39.031453+00,5a5496cf-5d4e-46f0-9c14-ef552a7df211
Craighead County,Arkansas,AR,County,112097,https://craigheadcountyar.gov/,,,,,,,,,,,,,,2025-11-08 10:48:29.687684+00,2025-11-08 10:48:29.687687+00,5aed8ce1-5da6-468c-8f81-033170297447
Ector County,Texas,TX,County,163206,https://www.co.ector.tx.us/,,,,,,,,,,,,,,2025-11-08 11:00:48.739554+00,2025-11-08 11:00:48.739557+00,5b1063e5-0c5e-4e5b-aa28-609f95023647
City of Lafayette,Louisiana,LA,City,121537,https://www.lafayettela.gov,,,,,,,,,,,,,Lafayette Parish County,2025-11-08 10:53:25.193929+00,2025-11-08 10:53:25.193932+00,5b73e55e-9800-415d-8843-b94fb8ab5c8e
Bastrop County,Texas,TX,County,102370,http://co.bastrop.tx.us/,,,,,,,,,,,,,,2025-11-08 11:00:48.741071+00,2025-11-08 11:00:48.741073+00,5b80e8b1-9a83-46f9-bf63-1264c77c3e22
Flathead County,Montana,MT,County,108445,https://flathead.mt.gov,,,,,,,,,,,,,,2025-11-08 10:55:17.084177+00,2025-11-08 10:55:17.08418+00,5ba07d31-1585-432f-9754-e94e8bff3f41
Albemarle County,Virginia,VA,County,113683,https://www.albemarle.org,,,,,,,,,,,,,,2025-11-08 11:02:07.064474+00,2025-11-08 11:02:07.064477+00,5bead314-9172-4e03-9b3d-0ad633ae0c6d
City of Peoria,Arizona,AZ,City,194338,https://www.peoriaaz.gov,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.677397+00,2025-11-08 10:48:29.6774+00,5bf80cf7-4fb1-450e-8726-2c229a980374
Kanawha County,West Virginia,WV,County,178198,https://kanawha.us,,,,,,,,,,,,,,2025-11-08 11:02:07.079681+00,2025-11-08 11:02:07.079684+00,5c1600c2-eafe-4019-ba1c-de1238abd932
Columbia County,Georgia,GA,County,159638,https://www.columbiacountyga.gov,,,,,,,,,,,,,,2025-11-08 10:50:28.452531+00,2025-11-08 10:50:28.452534+00,5c4ad1c8-c224-4314-b3eb-82f7160219fa
City of Las Cruces,New Mexico,NM,City,112612,https://lascruces.gov,,,,,,,,,,,,,Doña Ana County,2025-11-08 10:56:20.020917+00,2025-11-08 10:56:20.020919+00,5c555455-e058-4fb7-baf6-207c4a641cd1
City of Sterling Heights,Michigan,MI,City,133473,https://www.sterlingheights.gov,,,,,,,,,,,,,Macomb County,2025-11-08 10:54:03.491165+00,2025-11-08 10:54:03.491167+00,5c6a6b6c-39f1-442a-9e97-bc9f25c69300
City of Mobile,Alabama,AL,City,185097,https://www.cityofmobile.org/,,,,,,,,,,,,,Mobile County,2025-11-08 10:48:12.732029+00,2025-11-08 10:48:12.732032+00,5ca5bd37-4207-452a-8b86-e0da321ea7da
City of Elgin,Illinois,IL,City,114106,https://elginil.gov/,,,,,,,,,,,,,Kane County,2025-11-08 10:51:14.638106+00,2025-11-08 10:51:14.638108+00,5cc22d28-86fa-4197-918e-69483f70a6ca
Harnett County,North Carolina,NC,County,136503,https://www.harnett.org,,,,,,,,,,,,,,2025-11-08 10:57:38.305832+00,2025-11-08 10:57:38.305834+00,5cd1e1b6-19ea-4a65-b851-1b4398c121ea
City of Santa Ana,California,CA,City,311639,https://www.santa-ana.org/,,,,,,,,,,,,,Orange County,2025-11-08 10:49:05.029361+00,2025-11-08 10:49:05.029364+00,5cfa8e6c-86de-4330-8515-8122f8f5a053
Johnson County,Kansas,KS,County,614764,https://www.jocogov.org/,,,,,,,,,,,,,,2025-11-08 10:52:36.691147+00,2025-11-08 10:52:36.69115+00,5d0db3f9-34c0-4a35-a6f9-4d1f33613ad3
Will County,Illinois,IL,County,698450,https://willcounty.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.62665+00,2025-11-08 10:51:14.626653+00,5d1b3453-1f1c-4872-a05e-979e94539d3f
Orleans Parish,Louisiana,LA,County,376035,https://www.louisiana.gov/local-louisiana/orleans-parish,,,,,,,,,,,,,,2025-11-08 10:53:25.190466+00,2025-11-08 10:53:25.190469+00,5d271618-70bf-49ec-981b-59694938b7e8
City of Chandler,Arizona,AZ,City,278123,https://www.chandleraz.gov,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.678248+00,2025-11-08 10:48:29.678251+00,5db34b7d-537e-42a8-8489-cf5d975067e8
City of Hayward,California,CA,City,159201,https://www.hayward-ca.gov/,,,,,,,,,,,,,Alameda County,2025-11-08 10:49:05.024582+00,2025-11-08 10:49:05.024585+00,5db98daf-0bd3-4791-a362-2a083baa71eb
Douglas County,Georgia,GA,County,146141,https://douglascountyga.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.736211+00,2025-11-08 10:49:43.736214+00,5dfad9f2-7f69-4204-a65a-d85f9fcf9aa3
Montgomery County,Pennsylvania,PA,County,861225,https://www.montgomerycountypa.gov,,,,,,,,,,,,,,2025-11-08 10:59:17.220615+00,2025-11-08 10:59:17.220617+00,5e00e144-4bae-4f48-b8df-808c589cd0e3
City of Detroit,Michigan,MI,City,636644,https://detroitmi.gov,,,,,,,,,,,,,Wayne County,2025-11-08 10:54:03.493512+00,2025-11-08 10:54:03.493514+00,5e037901-7c61-4f7e-8d8c-3f67e0a0e51b
City of Sacramento,California,CA,City,524802,https://www.cityofsacramento.gov,,,,,,,,,,,,,Sacramento County,2025-11-08 10:49:05.024683+00,2025-11-08 10:49:05.024686+00,5e73088b-f677-42f2-aaf3-28356d104497
Saline County,Arkansas,AR,County,125724,https://www.salinecounty.org,,,,,,,,,,,,,,2025-11-08 10:48:29.688918+00,2025-11-08 10:48:29.688926+00,5ef8ccf9-329e-4bcf-b7f4-5520a89a7351
City of Lakeland,Florida,FL,City,117030,https://lakelandgov.net,,,,,,,,,,,,,Polk County,2025-11-08 10:49:43.72898+00,2025-11-08 10:49:43.728982+00,5f1bf7df-c700-445e-9136-c66dedcc5a48
Outagamie County,Wisconsin,WI,County,191537,https://www.outagamie.org,,,,,,,,,,,,,,2025-11-08 11:02:49.698922+00,2025-11-08 11:02:49.698925+00,5f3b1b3a-e020-4ae0-9958-67e45696bd97
City of Berkeley,California,CA,City,120223,https://berkeleyca.gov,,,,,,,,,,,,,Alameda County,2025-11-08 10:49:05.02932+00,2025-11-08 10:49:05.029323+00,5f3fbb66-8b27-4744-9204-bc7ff9a01e6f
Macon-Bibb,Georgia,GA,County,156543,https://www.maconbibb.us,,,,,,,,,,,,,,2025-11-08 10:50:28.45639+00,2025-11-08 10:50:28.456394+00,5faaa1a2-12c7-4b95-b635-0ad6baf51806
Martin County,Florida,FL,County,160464,https://www.martin.fl.us,,,,,,,,,,,,,,2025-11-08 10:49:43.72694+00,2025-11-08 10:49:43.726942+00,5fcc3cc0-08b4-4f88-b6b1-46194200851c
City of Scottsdale,Arizona,AZ,City,242169,https://www.scottsdaleaz.gov,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.678419+00,2025-11-08 10:48:29.678423+00,606d0634-8616-4a33-ab5f-7a2eb3977223
City of Costa Mesa,California,CA,City,110538,https://www.costamesaca.gov,,,,,,,,,,,,,Orange County,2025-11-08 10:49:05.029403+00,2025-11-08 10:49:05.029405+00,609e67d3-4eba-4682-8ccd-db703cdb5bc2
City of Fullerton,California,CA,City,141278,https://www.cityoffullerton.com,,,,,,,,,,,,,Orange County,2025-11-08 10:48:36.927702+00,2025-11-08 10:48:36.927705+00,60adca9d-5117-4135-8959-510073d9cbc3
Philadelphia County,Pennsylvania,PA,County,1582432,https://www.phila.gov,,,,,,,,,,,,,,2025-11-08 10:59:17.219443+00,2025-11-08 10:59:17.219445+00,60d36837-f866-4f56-93ab-a655607dd2c5
Bristol County,Massachusetts,MA,County,578436,https://countyofbristol.net/,,,,,,,,,,,,,,2025-11-08 10:53:46.246321+00,2025-11-08 10:53:46.246324+00,6130afe9-235e-4a25-884f-e0f1d3ca5277
City of North Las Vegas,Nevada,NV,City,270773,https://www.cityofnorthlasvegas.com,,,,,,,,,,,,,Clark County,2025-11-08 10:55:47.43925+00,2025-11-08 10:55:47.439253+00,61a75892-d6ea-40bd-a7c7-ebb759cf721a
Wake County,North Carolina,NC,County,1151009,https://www.wake.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.305422+00,2025-11-08 10:57:38.305424+00,620df54d-8033-47ae-b712-ac52da62890d
Ada County,Idaho,ID,County,508052,https://adacounty.id.gov,,,,,,,,,,,,,,2025-11-08 10:50:28.462342+00,2025-11-08 10:50:28.462345+00,622a5b60-967d-45d6-856e-d5995eaf47e7
City of Kansas City,Kansas,KS,City,154776,https://www.visitkansascityks.com/,,,,,,,,,,,,,Wyandotte County,2025-11-08 10:53:25.175934+00,2025-11-08 10:53:25.175936+00,623834e6-b79f-42e7-b7a8-cf07f5e6af16
Cass County,Missouri,MO,County,109393,http://casscounty.com,,,,,,,,,,,,,,2025-11-08 10:55:17.068246+00,2025-11-08 10:55:17.068248+00,623f7365-bbfd-404f-9285-4ff425f2f1fb
Butte County,California,CA,County,209470,https://www.buttecounty.net,,,,,,,,,,,,,,2025-11-08 10:48:36.92523+00,2025-11-08 10:48:36.925232+00,634ea7ad-9f4b-476c-acae-c8e2903ba49d
City of McAllen,Texas,TX,City,143789,https://www.mcallen.net,,,,,,,,,,,,,Hidalgo County,2025-11-08 11:01:29.715957+00,2025-11-08 11:01:29.715966+00,6358dc9a-5bc2-42c8-af50-55982620c798
Daviess County,Kentucky,KY,County,103195,https://www.daviessky.org,,,,,,,,,,,,,,2025-11-08 10:53:25.183252+00,2025-11-08 10:53:25.183254+00,63e80a8f-c613-44d3-b64a-0ea07133e510
Oklahoma County,Oklahoma,OK,County,800487,https://www.oklahomacounty.org,,,,,,,,,,,,,,2025-11-08 10:58:36.689777+00,2025-11-08 10:58:36.68978+00,648f2e91-5849-4c78-867e-e63ccb56331c
Lake County,Illinois,IL,County,711885,https://www.lakecountyil.gov/,,,,,,,,,,,,,,2025-11-08 10:51:14.627952+00,2025-11-08 10:51:14.627954+00,64cedfdb-70b8-4e09-b9dc-82179d363941
Franklin County,Ohio,OH,County,1321635,https://www.franklincountyohio.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.227174+00,2025-11-08 10:58:14.227177+00,65406290-3c8a-41e3-8f8d-d7bdd79ef72c
Delaware County,Pennsylvania,PA,County,576195,https://www.delcopa.gov,,,,,,,,,,,,,,2025-11-08 10:59:17.220204+00,2025-11-08 10:59:17.220207+00,6573c74a-dbe8-4f9d-b82f-ab0742700cb1
Dorchester County,South Carolina,SC,County,164322,https://www.dorchestercountysc.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.967749+00,2025-11-08 11:00:02.967752+00,661c9b2d-fab1-4344-9c99-ec8f09e6542e
City of Spokane Valley,Washington,WA,City,105460,https://www.spokanevalleywa.gov,,,,,,,,,,,,,Spokane County,2025-11-08 11:02:07.077907+00,2025-11-08 11:02:07.07791+00,665ba7f9-5272-4707-a47b-8c0322b729c8
Brown County,Wisconsin,WI,County,269425,https://www.browncountywi.gov,,,,,,,,,,,,,,2025-11-08 11:02:49.699398+00,2025-11-08 11:02:49.699401+00,665be6e2-eaa8-4518-88b9-6631ddfc13c3
Kootenai County,Idaho,ID,County,177736,https://www.kcgov.us,,,,,,,,,,,,,,2025-11-08 10:50:28.462675+00,2025-11-08 10:50:28.462686+00,6694ec09-dbeb-4f0a-9f0f-ffc91fcd52a6
Hampshire County,Massachusetts,MA,County,156595,https://hampshirecountywebsite.com,,,,,,,,,,,,,,2025-11-08 10:53:46.246422+00,2025-11-08 10:53:46.246425+00,66a48294-86a3-4f86-8047-f5100645ebe1
City of Albany,New York,NY,City,100081,https://www.albanyny.gov,,,,,,,,,,,,,Albany County,2025-11-08 10:57:06.794597+00,2025-11-08 10:57:06.794599+00,66a7f06f-56de-4ac5-8fa7-427b8a161339
Mohave County,Arizona,AZ,County,217420,https://www.mohave.gov,,,,,,,,,,,,,,2025-11-08 10:48:29.676999+00,2025-11-08 10:48:29.677001+00,67a32abf-f7bb-47f1-ad14-e99bfc9c36df
Tippecanoe County,Indiana,IN,County,187399,https://www.tippecanoe.in.gov,,,,,,,,,,,,,,2025-11-08 10:51:55.199584+00,2025-11-08 10:51:55.199587+00,6830a795-d687-404b-aa56-f097ab22d1d0
Hampden County,Massachusetts,MA,County,462853,https://www.hampdenma.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.246442+00,2025-11-08 10:53:46.246444+00,6863f4e8-4681-49e1-9fb0-25b73e0e4f41
Leon County,Florida,FL,County,295335,https://www.leoncountyfl.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.726052+00,2025-11-08 10:49:43.726055+00,689c2f06-6a72-4742-9a2a-64aa969cc92d
Clark County,Indiana,IN,County,122800,https://www.co.clark.in.us/,,,,,,,,,,,,,,2025-11-08 10:51:55.198875+00,2025-11-08 10:51:55.198878+00,691887c6-a785-4782-9824-cfcb6f7535bb
Androscoggin County,Maine,ME,County,112323,http://www.androscoggincountymaine.gov/,,,,,,,,,,,,,,2025-11-08 10:53:46.233188+00,2025-11-08 10:53:46.23319+00,693fa858-c1fe-415d-88ad-eecc645e326b
Los Angeles County,California,CA,County,9848406,https://lacounty.gov/,,,,,,,,,,,,,,2025-11-08 10:48:36.925045+00,2025-11-08 10:48:36.925055+00,69a1ddf0-0beb-417f-9f7c-e72d1eead7d0
City of Burbank,California,CA,City,105165,https://www.burbankca.gov,,,,,,,,,,,,,Los Angeles County,2025-11-08 10:49:05.031774+00,2025-11-08 10:49:05.031776+00,69cec84b-a4f1-450f-84bf-0b30bb1cf02a
